Title,Description,Link To Article,Publication Date,Category,Image URL
Can’t learn as much from success as I did from failure: Manu Bhaker,,https://www.thehindu.com/sport/cant-learn-as-much-from-success-as-i-did-from-failure-manu-bhaker/article68822943.ece,"Sat, 02 Nov 2024 18:59:27 +0530",Sport,https://th-i.thgim.com/public/incoming/t3b7mt/article68823002.ece/alternates/LANDSCAPE_1200/33_Felicitation_Ceremony_Olympic_02_11_Delhi.jpg
Knotty Legend claims the General Rajendrasinhji Million,,https://www.thehindu.com/sport/races/knotty-legend-claims-the-general-rajendrasinhji-million/article68822864.ece,"Sat, 02 Nov 2024 18:23:36 +0530",Races,
"IND vs NZ third Test Day 2: Chase won't be easy, we have to bat really well, says Ravichandran Ashwin","What surprised Ashwin is the nature of low bounce, not exactly synonymous with red soil Mumbai surfaces which helps the ball to fly.",https://www.thehindu.com/sport/cricket/india-vs-new-zealand-third-test-in-mumbai-day-2-ravichandran-ashwins-press-conference/article68822789.ece,"Sat, 02 Nov 2024 18:03:18 +0530",Cricket,https://th-i.thgim.com/public/sport/cricket/abouji/article68822802.ece/alternates/LANDSCAPE_1200/11908_2_11_2024_16_43_33_3_DSC_1092.JPG
"Desert Kingdom, Philosophy and Magnetic excel",,https://www.thehindu.com/sport/races/horse-racing/article68822702.ece,"Sat, 02 Nov 2024 17:17:17 +0530",Races,
Virat Kohli drops hints of completing 20 years with RCB,"Virat Kohli has been playing for RCB ever since IPL's inception in 2008 and is the leading run-scorer in the competition, amassing over 8,000 runs",https://www.thehindu.com/sport/cricket/ipl-retention-virat-kohli-drops-his-hints-of-completing-20-years-with-rcb-till-2027/article68822487.ece,"Sat, 02 Nov 2024 15:52:51 +0530",Cricket,https://th-i.thgim.com/public/sport/cricket/i79v9g/article68822504.ece/alternates/LANDSCAPE_1200/11908_22_5_2024_20_10_30_1_DSC_0154.JPG
"India vs New Zealand, 3rd Test, Day 2: Spinners dominate, time for batters to salvage pride; Test poised for exciting finish","New Zealand ended day two with an overall lead of 143, which might look small but even a target in the vicinity of 150 will pose serious challenge for the Indian batters",https://www.thehindu.com/sport/cricket/india-vs-new-zealand-3rd-test-day-2-match-at-wankhede-stadium-in-mumbai/article68822138.ece,"Sat, 02 Nov 2024 12:28:49 +0530",Cricket,https://th-i.thgim.com/public/sport/cricket/6w11c8/article68822385.ece/alternates/LANDSCAPE_1200/11908_2_11_2024_13_44_13_4_DSC_8118.JPG
"Morning Digest: Companies from Delhi, Hyderabad, Bengaluru lead list of Indian entities facing U.S. sanctions; Rohit Bal, czar of high fashion, dies at 63, and more",Here is a select list of stories to start the day,https://www.thehindu.com/news/morning-digest-november-2-2024/article68820826.ece,"Sat, 02 Nov 2024 06:49:30 +0530",News,https://th-i.thgim.com/public/incoming/djctc5/article68821868.ece/alternates/LANDSCAPE_1200/PTI11_01_2024_000300B.jpg
Field Of Dreams is in good shape and is poised for a hat-trick,,https://www.thehindu.com/sport/races/field-of-dreams-is-in-good-shape-and-is-poised-for-a-hat-trick/article68819464.ece,"Sat, 02 Nov 2024 00:48:00 +0530",Races,
"AUS-A vs IND-A Test: Sai Sudharsan, Padikkal do the rescue job",Lead fightback for India-A with half-centuries after Mukesh restricts Australia-A with incisive spell; visiting team secures 120-run lead at end of day two,https://www.thehindu.com/sport/cricket/aus-a-vs-ind-a-test-sai-sudharsan-padikkal-do-the-rescue-job/article68820828.ece,"Sat, 02 Nov 2024 00:03:16 +0530",Cricket,https://th-i.thgim.com/public/sport/cricket/4w9k4r/article68820823.ece/alternates/LANDSCAPE_1200/SaiSudarshan.jpg
I want to be a complete batter and a complete spinner: Tanush Kotian’s mission statement,"The Mumbai all-rounder’s consistent match-winning feats have catapulted him into national reckoning. Judging by the challenges he has overcome so far, as well as his clear-headed approach to cricket, the 26-year-old will be keen to test himself on India-A’s tour of Australia",https://www.thehindu.com/sport/cricket/i-want-to-be-a-complete-batter-and-a-complete-spinner-tanush-kotians-mission-statement/article68820791.ece,"Fri, 01 Nov 2024 23:35:04 +0530",Cricket,https://th-i.thgim.com/public/incoming/7h2mfz/article68820787.ece/alternates/LANDSCAPE_1200/11908_27_2_2024_17_37_38_1_EMM_3451.JPG
Gukesh brooks no complacency as he readies forces for World title assault,"The 18-year-old has an opportunity to become the youngest World chess champion, with many observers — including several top players — expecting him to defeat Ding Liren. But Gukesh isn’t taking the Chinese defending champion, whom he is yet to beat in a classical game, lightly",https://www.thehindu.com/sport/other-sports/gukesh-brooks-no-complacency-as-he-readies-forces-for-world-title-assault/article68820781.ece,"Fri, 01 Nov 2024 23:29:20 +0530",Other Sports,https://th-i.thgim.com/public/incoming/r2affk/article68820775.ece/alternates/LANDSCAPE_1200/BLEFTB16_D_Gukesh_8.jpg
ISL: Table-topper BFC takes on a struggling FC Goa,,https://www.thehindu.com/sport/football/isl-table-topper-bfc-takes-on-a-struggling-fc-goa/article68819847.ece,"Fri, 01 Nov 2024 20:52:10 +0530",Football,
ISL: Majcen nets brace as Punjab comes from behind to beat Chennaiyin,,https://www.thehindu.com/sport/football/isl-majcen-nets-brace-as-punjab-comes-from-behind-to-beat-chennaiyin/article68819813.ece,"Fri, 01 Nov 2024 20:44:24 +0530",Football,
Yukan claims the Rajyotsava Trophy,,https://www.thehindu.com/sport/races/yukan-claims-the-rajyotsava-trophy/article68820238.ece,"Fri, 01 Nov 2024 20:22:54 +0530",Races,
IND vs NZ third Test: Ravindra Jadeja rues worst fears having come true,"In India’s last series loss at home prior to this, Jadeja – a rookie – had featured in a solitary Test.",https://www.thehindu.com/sport/cricket/ind-vs-nz-third-test-ravindra-jadeja-rues-worst-fears-having-come-true/article68819810.ece,"Fri, 01 Nov 2024 19:40:26 +0530",Cricket,https://th-i.thgim.com/public/sport/cricket/hrzwkr/article68819888.ece/alternates/LANDSCAPE_1200/11908_1_11_2024_15_8_39_4_DSC_0235.JPG
IND vs NZ third Test: India shoots itself in the foot after dominating most of the day,A combination of reckless batting and decision-making undoes all the good work done by Jadeja and Washington in restricting New Zealand to a modest 235,https://www.thehindu.com/sport/cricket/test-cricket-india-shoots-itself-in-the-foot-after-dominating-most-of-the-day/article68819650.ece,"Fri, 01 Nov 2024 19:20:07 +0530",Cricket,https://th-i.thgim.com/public/incoming/j24akf/article68819868.ece/alternates/LANDSCAPE_1200/11908_1_11_2024_15_6_57_1_DSC_9550.JPG
"Once You Go Black, Rodney, Habibti and La Mcqueen please",,https://www.thehindu.com/sport/races/horse-racing/article68819707.ece,"Fri, 01 Nov 2024 18:46:25 +0530",Races,
Arteta hints at Arsenal captain Odegaard’s return after two months of injury,Arteta said Odegaard wouldn't play against Newcastle United in the Premier League on Saturday but didn't rule the midfielder out of the trip to Inter Milan in the Champions League on Wednesday,https://www.thehindu.com/sport/football/arteta-hints-at-arsenal-captain-odegaards-return-after-two-months-of-injury/article68819246.ece,"Fri, 01 Nov 2024 16:32:33 +0530",Football,https://th-i.thgim.com/public/incoming/opmc5b/article68819255.ece/alternates/LANDSCAPE_1200/Arsenal-Odegaard_Soccer_48878.jpg
I will prove my that my retention was right decision: Shashank,Shashank established himself as a fine finisher for Punjab Kings in the last season where he was their top run-getter with 354 runs at a strike rate of 164.65. He averaged 44.25.,https://www.thehindu.com/sport/cricket/i-will-prove-my-that-my-retention-was-right-decision-shashank/article68819187.ece,"Fri, 01 Nov 2024 16:16:44 +0530",Cricket,https://th-i.thgim.com/public/incoming/fvdbt7/article68819212.ece/alternates/LANDSCAPE_1200/016_RVM_0074.jpg
Agartala may become KKR's second home ground next year,Under-construction international cricket stadium in Tripura could become KKR’s second home ground for 2025 IPL season,https://www.thehindu.com/sport/cricket/agartala-may-become-kkrs-second-home-ground-next-year/article68819027.ece,"Fri, 01 Nov 2024 15:24:21 +0530",Cricket,https://th-i.thgim.com/public/incoming/3gur7w/article68819089.ece/alternates/LANDSCAPE_1200/IMG_Kolkata_Knight_Rider_2_1_HJDFKSSH.jpg
